Syllable/Combination,汉字
dea3A|35,戴帶對擔膽撣誕旦疸
tea1A|53,胎苔推坍毯灘攤癱
tea3A|35,態太腿退毯坦炭嘆褪汰頹碳袒
ddea3B|13,臺苔抬待怠殆貸代袋隊兌潭譚談痰淡檀壇彈但蛋逮頹憚氮曇覃岱黛啖玳罈紿
nea1A|53,拿乃
nea3B|13,乃耐奈奶內難餒鼐
lea3B|13,來賴雷儡累壘類藍籃覽攬欖濫纜蘭攔欄懶爛檻擂萊嵐婪闌瀾磊蕾鐳耒籟讕斕睞賚瀨誄
zea1A|53,災栽再齋寨盞崽哉仔劗
zea3A|35,者宰載贅斬蘸贊湛㜺
cea1A|53,攙潺
cea3A|35,彩採睬菜燦鏟產璨懺粲啐
sea1A|53,腮鰓衰三杉衫珊山删疝率舢訕汕姍芟叁
sea3A|35,舍賽碎帥散傘塞饊
ssea3B|13,才材財裁纔在豺寨罪慚暫站賺讒饞殘灒綻棧涎哉湛髯儕巉
gea1A|53,該尷監間奸賅
kea1A|53,開堪龕鉛戡
kea3A|35,改凱概漑慨蓋丐坎砍勘橄減鹻嵌鑑刊襇揀澗檻鈣愾侃愷鎧鍇
ggea3B|13,隑
ngea3B|13,呆礙艾巖銜眼顔癌皚
hea1A|53,䫲
hea3A|35,海喊
hhea3B|13,孩亥害駭咸鹹陷餡銜閒限還嫻骸
wea1A|53,煨萎餧威彎灣偎
wea3A|35,倭會委餧畏慰幻患挽綰尉痿
guea1A|53,圭規龜歸關瑰硅
guea3A|35,會劊檜鱖閨桂詭軌鬼貴貫鰥慣燴
kuea1A|53,盔魁筷奎虧窺
kuea3A|35,傀塊會劊款噲窾
gguea3B|13,潰跪逵葵癸愧櫃環睽寰鬟馗摜夔揆
huea1A|53,恢灰麾揮輝徽詼暉
huea3A|35,賄悔晦穢毀揮諱燴卉誨喙
hhuea3B|13,桅會會回茴匯繪懷惠慧衛危僞為位魏違圍偉葦緯胃謂蝟彙還患宦蛔徊豢彗巍韋渭蔚煒蕙幃韙迴闈瑋
oe1A|53,庵安鞍按案鵪氨銨
oe3A|35,暗諳黯
boe1A|53,搬潘
boe3A|35,半判
bboe3B|13,盤伴拌絆叛磐蟠槃瀊
moe3B|13,瞞饅滿鰻
doe1A|53,端
doe3A|35,撣短斷鍛
toe1A|53,貪湍
toe3A|35,蛻探煺
ddoe3B|13,團糰斷段緞摶萏篿
noe1A|53,囡
noe3B|13,南男暖喃楠囡
loe3B|13,鸞卵亂鑾巒灤欒
zoe1A|53,追錐簪沾瞻占氈鑽專磚詹
zoe3A|35,最綴贅嘴醉佔展戰轉輾囀
coe1A|53,猜催崔揣吹炊參餐汆竄川穿串攛摧躥
coe3A|35,脆翠粹慘顫纂篡喘串闡萃瘁釧淬焠
soe1A|53,奢雖酸閂拴栓痠
soe3A|35,歲稅銳綏水陝閃搧扇算蒜率糝祟邃
ssoe3B|13,罪芮銳隨髓垂睡瑞蘂遂隧穗槌錘墜誰蠶蟾染冉單纏蟬禪善然燃膳撰傳椽篆船篅鱔悴擅贍隋饌椎嬋陲繕嬗
goe1A|53,甘柑泔肝竿乾坩
goe3A|35,感敢桿稈擀趕幹贛淦紺
koe1A|53,看
koe3A|35,看
ngoe3B|13,岸
hoe1A|53,蝦蚶酣鼾
hoe3A|35,憾罕漢熯㗿
hhoe3B|13,含函撼憾寒韓旱汗銲翰涵邯捍悍頷瀚菡
woe3A|35,緩皖豌剜碗腕宛惋浣蜿婉菀
guoe1A|53,官棺觀冠倌
guoe3A|35,觀冠管館灌罐盥鸛
kuoe1A|53,寬髖
kuoe3A|35,款窾
huoe1A|53,歡
huoe3A|35,喚煥渙瘓
hhuoe3B|13,桓完丸玩換頑紈
yuoe1A|53,冤淵鴛
yuoe3A|35,怨苑
jyuoe1A|53,捐鵑娟涓
jyuoe3A|35,捲卷絹
qyuoe1A|53,圈
qyuoe3A|35,勸券犬
jjyuoe3B|13,圈拳權顴倦踡蜷鬈綣䟒䠰
njyuoe3B|13,軟元原源阮願遠黿
xyuoe1A|53,靴宣喧楦萱揎䚭㧦
hhyuoe3B|13,圓員緣院元袁轅園援遠玄懸縣眩垣泫爰鳶櫞
ang1A|53,鸚櫻
bang1A|53,崩浜姘繃
bang3A|35,迸泵
pang1A|53,乓
bbang3B|13,蚌朋彭膨棚碰甏澎鵬硼蟛
mang3B|13,猛孟蜢錳稝
dang3A|35,打
tang3A|35,踼
lang3B|13,冷
zang1A|53,張爭睜
zang3A|35,長漲仗帳脹
cang1A|53,撐昶
cang3A|35,廠暢撐牚敞倀悵氅
sang1A|53,生牲甥聲
sang3A|35,省
ssang3B|13,藏長腸場丈仗杖常剩鋥䂻盛嫦
gang1A|53,更粳庚羹
gang3A|35,哽埂梗鯁亙
kang1A|53,坑
ngang3B|13,硬
hang1A|53,夯亨哼
hhang3B|13,行杏桁
yang1A|53,央秧殃鴦泱怏
yang3A|35,映
liang3B|13,二良涼量糧梁粱兩亮諒輛倆魎晾踉
jiang1A|53,將漿疆僵薑礓繮姜江
jiang3A|35,將蔣獎槳醬講降絳
qiang1A|53,槍羌腔鏘
qiang3A|35,搶嗆戧繈蹌鏹
jjiang3B|13,強
njiang1A|53,孃
njiang3A|35,仰
njiang3B|13,娘壤嚷仰釀讓
xiang1A|53,相箱廂湘襄鑲香鄉
xiang3A|35,相想鮝享響餉向饗
xxiang3B|13,牆詳祥象像橡匠薔檣翔
hhiang3B|13,羊洋烊楊陽揚瘍養癢樣佯恙氧漾煬蛘
wang1A|53,橫
guang1A|53,光
hhuang3B|13,橫
aong1A|53,骯
aong3A|35,盎
baong1A|53,幫邦梆
baong3A|35,榜謗綁膀磅鎊蒡
paong3A|35,肨髈
bbaong3B|13,滂旁螃傍防彷龐棒膀磅鳑
maong3B|13,忙芒茫莽蟒亡網忘妄望盲虻懵夢氓罔魍硭䈍
faong1A|53,方肪芳坊枋
faong3A|35,妨倣紡仿彷放訪舫
vaong3B|13,房防
daong1A|53,當鐺襠噹璫
daong3A|35,當黨擋檔
taong1A|53,湯
taong3A|35,倘躺燙趟淌
ddaong3B|13,堂棠螳唐糖塘蕩宕搪碭膛儻溏樘婸趤
naong3B|13,囊曩瓤攘
laong1A|53,誏
laong3B|13,郎廊狼朗浪㫰螂榔琅鋃
zaong1A|53,贓髒莊裝章樟樁妝蟑獐臧彰漳璋
zaong3A|35,葬掌壯障瘴蟑奘
caong1A|53,倉蒼瘡昌菖倡窗艙猖滄鯧閶
caong3A|35,闖創唱倡愴
saong1A|53,桑喪霜孀商傷雙墒
saong3A|35,喪磉嗓搡爽賞
ssaong3B|13,藏臟牀嘗裳償上壯狀尚撞緔幢
gaong1A|53,岡剛綱鋼缸江扛豇肛
gaong3A|35,崗杠講港降虹
kaong1A|53,康糠炕坑
kaong3A|35,慷抗囥亢伉吭
ggaong3B|13,戇
ngaong3B|13,昂
hhaong3B|13,行航杭降項巷絎
waong1A|53,汪
waong3A|35,枉往
guaong1A|53,光胱洸
guaong3A|35,廣逛鄺
kuaong1A|53,桄匡筐眶框
kuaong3A|35,曠况礦
gguaong3B|13,狂逛誑
huaong1A|53,荒慌黃肓
huaong3A|35,謊晃况恍幌
hhuaong3B|13,黃簧皇蝗亡網忘妄望狂王旺蟥隍磺凰徨惶煌潢璜
eng1A|53,恩嗯
beng1A|53,奔崩賁畚
beng3A|35,本苯
peng1A|53,噴烹砰抨怦
bbeng3B|13,盆笨坌
meng1A|53,悶
meng3A|35,猛
meng3B|13,門蚊聞問萌盟捫懣
feng1A|53,分芬紛吩氛畚
feng3A|35,粉憤忿糞奮汾
veng3B|13,焚墳文紋蚊聞憤忿吻刎份問雯紊
deng1A|53,吞敦墩蹲登燈瞪蹬礅驐
deng3A|35,頓等凳鐙戥噸燉盹礅磴憕膯
teng3A|35,氽㶒
ddeng3B|13,屯豚飩臀囤沌盾鈍遁騰藤疼鄧滕賸
neng3B|13,嫩能
leng1A|53,扔愣掄
leng3B|13,刃論崙倫淪輪稜圇綸埨
zeng1A|53,針斟珍榛臻眞診尊遵肫曾增憎蒸爭箏睜貞偵正征砧掙甑禎甄猙諄箴樽楨㲀
zeng3A|35,枕鎮診疹振震準准拯證症正整政怎幀圳賑黰
ceng1A|53,參村皴春樁稱琛嗔瞠瞋
ceng3A|35,趁襯忖寸蠢稱秤逞騁磣
seng1A|53,參森深身申伸孫僧升生牲笙甥聲紳呻猻
seng3A|35,沈審嬸滲損遜筍榫舜勝聖瞬
sseng3B|13,沉岑葚甚壬任紝陳塵陣神娠辰晨臣腎愼人仁忍刃認韌存唇純蒓醇順潤閏澄曾層贈懲橙乘繩承丞剩仍呈程鄭成城誠盛盛鶉蜃淳荏仞飪妊呻吮忱涔諶衽嵊
geng1A|53,跟根更耕賡
geng3A|35,更耿艮
keng1A|53,鏗
keng3A|35,懇墾齦肯
heng1A|53,哼
heng3A|35,很擤狠
hheng3B|13,痕恨恆衡蘅
ying1A|53,音陰蔭因姻殷尹應鷹蠅鶯鸚櫻英嬰纓唁茵罌膺縈瑛氤痏
ying3A|35,飲洇印隱應影映癮瀴
bing1A|53,彬賓檳殯鬢冰兵斌濱繽
bing3A|35,稟丙秉柄餅併炳摒擯鈵
ping1A|53,拚姘拼乒
ping3A|35,品聘牝
bbing3B|13,貧頻憑平坪評病瓶屏萍並蘋顰瀕
ming3A|35,閩敏抿鳴皿脗閔
ming3B|13,閩民憫敏明皿命名銘岷閔冥溟瞑茗酩泯暝瑉
ding1A|53,丁釘疔叮盯仃
ding3A|35,釘頂鼎訂酊濎
ting1A|53,聽廳汀
ting3A|35,聽艇梃
dding3B|13,亭停廷庭蜓錠定婷霆
ling1A|53,拎
