Syllable/Combination,汉字
bao1A|31,褒包胞苞
bao2|212,保堡寶飽葆褓鴇
bao3|44,抱報暴菢刨鮑豹爆雹曝
pao1A|31,泡拋
pao1B|24,袍泡刨麅皰咆
pao2|212,跑
pao3|44,泡炮
mao1A|31,貓眊
mao1B|24,毛茅貓錨矛犛髦
mao2|212,卯鉚茆
mao3|44,冒帽貌茂貿袤瑁耄
dao1A|31,刀叨
dao2|212,禱島倒到導搗蹈
dao3|44,倒道稻到盜悼
tao1A|31,叨滔掏韜
tao1B|24,掏桃逃淘萄濤燾啕
tao2|212,討
tao3|44,套
lao1A|31,撈孬
lao1B|24,勞撈牢撓癆蟯嶗
lao2|212,腦惱老佬姥瑙
lao3|44,澇鬧落
zao1A|31,遭糟
zao2|212,早棗蚤澡藻
zao3|44,皂造躁竃噪
cao1A|31,操
cao1B|24,曹槽巢嘈漕
cao2|212,草騲吵
cao3|44,躁糙燥
sao1A|31,騷臊搔
sao2|212,掃嫂
sao3|44,臊掃燥
zhao1A|31,朝召昭招詔釗
zhao2|212,爪找
zhao3|44,罩笊趙兆照肇
chao1A|31,抄超
chao1B|24,朝潮嘲晁
chao2|212,鈔炒
chao3|44,鈔
shao1A|31,梢捎稍燒艄筲
shao1B|24,韶
shao2|212,少
shao3|44,潲少紹邵哨
rao1B|24,饒嬈
rao2|212,擾繞
rao3|44,繞
gao1A|31,高膏篙羔糕酵繞繞皋睾
gao2|212,稿搞鎬槁
gao3|44,告校
kao1A|31,敲
kao2|212,考烤拷
kao3|44,靠犒銬
hao1A|31,蒿薅
hao1B|24,豪壕毫號嚎嗥
hao2|212,好
hao3|44,號好浩耗昊皓誥
yao1A|31,妖邀腰要吆夭
yao1B|24,肴搖謠窰姚堯遙瑤爻徭
yao2|212,咬舀杳窈
yao3|44,要耀鷂曜
biao1A|31,臕標彪猋飆鏢驃
biao2|212,表錶婊裱
piao1A|31,飄漂
piao1B|24,瓢漂朴瞟剽荸㬓
piao2|212,漂
piao3|44,票
miao1B|24,苗描瞄
miao2|212,藐渺秒緲邈
miao3|44,廟妙謬繆
diao1A|31,刁貂雕叼凋碉
diao2|212,屌
diao3|44,調釣弔掉銚
tiao1A|31,挑佻
tiao1B|24,條調笤鰷迢髫
tiao2|212,挑
tiao3|44,跳糶
liao1B|24,燎療聊遼撩寥僚嘹潦寮
liao2|212,鳥了嫋
liao3|44,尿料尥廖撂
ziao1A|31,焦蕉椒礁
ziao2|212,剿
ciao1A|31,鍬繰悄醮鞘劁
ciao1B|24,樵瞧憔
ciao3|44,俏峭
siao1A|31,消宵霄硝銷蕭肖逍瀟嘯梟魈
siao2|212,小筱
siao3|44,笑
jiao1A|31,交郊膠驕嬌矯澆
jiao2|212,絞狡攪繳餃佼
jiao3|44,教校酵窖轎叫
qiao1A|31,敲撬橇
qiao1B|24,喬僑橋蕎
qiao2|212,巧竅
qiao3|44,翹蹺
xiao1A|31,枵
xiao1B|24,淆僥驍
xiao2|212,曉
xiao3|44,校酵孝效
ou1A|31,區歐甌毆謳鷗
ou2|212,藕偶嘔耦
ou3|44,漚慪
dou1A|31,都兜
dou2|212,斗抖陡
dou3|44,鬥豆逗痘
tou1A|31,偷
tou1B|24,頭投
tou3|44,透
lou1A|31,摟
lou1B|24,摟婁髏嘍僂螻
lou2|212,摟簍
lou3|44,露漏陋鏤瘺
zou1A|31,鄒
zou2|212,走
zou3|44,奏皺縐驟揍
cou1B|24,愁
cou2|212,丑醜
cou3|44,湊
sou1A|31,搜颼餿蒐溲
sou2|212,艘擻
sou3|44,瘦
zhou1A|31,周舟州洲
zhou2|212,肘帚
zhou3|44,紂晝宙咒
chou1A|31,抽謅
chou3|44,臭
shou1A|31,收
shou2|212,手首守狩
shou3|44,受獸壽授售綬
rou1B|24,柔揉蹂糅
rou2|212,蹂
rou3|44,肉
gou1A|31,勾鉤溝佝篝
gou2|212,狗苟枸
gou3|44,彀够構購垢媾
kou1A|31,摳瞘
kou1B|24,摳
kou2|212,口
kou3|44,叩扣宼
hou1A|31,齁
hou1B|24,侯喉猴
hou2|212,吼
hou3|44,後厚后候逅
you1A|31,憂優悠幽攸
you1B|24,尤郵由油游猶柚鈾魷蚰疣蝣
you2|212,有友酉牖
you3|44,莠誘又右祐柚鼬釉幼宥囿蚴
miou3|44,謬
diou1A|31,丟
liou1A|31,溜妞熘
liou1B|24,流劉留榴硫琉餾牛瘤瀏
liou2|212,紐扭柳鈕忸
liou3|44,溜遛騮
ziou1A|31,揫鬏
ziou2|212,酒
ziou3|44,就鷲
ciou1A|31,秋鰍楸
ciou1B|24,囚泅酋
siou1A|31,修羞
siou3|44,秀繡宿銹袖
jiou1A|31,鳩鬮糾赳
jiou2|212,九久韭灸玖
jiou3|44,臼舅咎救究舊柩疚桕
qiou1A|31,丘蚯邱
qiou1B|24,仇求球裘虬俅逑
xiou1A|31,休
xiou2|212,朽
xiou3|44,嗅
yin1A|31,音陰蔭因姻洇殷應鷹蠅鶯鸚英嬰纓茵喑罌膺瑛攖
yin1B|24,吟淫齦銀寅迎盈贏螢營塋垠熒瑩縈嬴楹瀛
yin2|212,飲引隱尹影穎癮蚓郢潁
yin3|44,印應映胤媵
bin1A|31,彬賓檳殯鬢冰兵斌濱繽瀕儐擯臏髕
bin2|212,稟丙秉柄餅屏炳
bin3|44,柄病併並
pin1A|31,拚聘姘拼乒
pin1B|24,貧頻憑平坪評瓶屏萍蘋顰摒
pin2|212,品
pin3|44,聘姘牝
min1B|24,民鳴明名銘冥溟茗暝
min2|212,閩憫敏抿皿閔酩泯
min3|44,命
din1A|31,丁釘疔叮盯仃
din2|212,頂鼎酊
din3|44,釘錠訂定
tin1A|31,聽廳汀
tin1B|24,亭停廷庭蜓婷霆
tin2|212,艇挺鋌
tin3|44,聽
lin1A|31,拎
